#,Competitor,Country,TOT. PTS,Wheel of Pain,Pts,Austrian Oak,Pts,Max Deadlift,Pts,Steintossen,Pts,Timber Carry,Pts
1,M. Hooper,CAN,41.5,28.65 m,8,3 reps (195 kg),8.5,445 kg,9,3.19 m,8,14.61 s,8
2,M. Kieliszkowski,POL,37.5,30.68 m,10,1 rep (195 kg),4.5,368 kg,3,3.47 m,10,8.35 s,10
3,B. Thompson,USA,29.5,18.11 m,1,3 reps (195 kg),8.5,447 kg,10,3.04 m,6,4.55 m,4
4,T. Mitchell,USA,29,29.57 m,9,4 reps (195 kg),10,427 kg,7,2.71 m,3,-,0
5,T. Evans,USA,25.5,24.61 m,4,1 rep (195 kg),4.5,388 kg,5,3.23 m,9,4.14 m,3
6,P. Nakonechnyy,UKR,24.5,28.02 m,7,1 rep (195 kg),4.5,(No lift),0,3.15 m,7,5.33 m,6
6,T. Stoltman,GBR,24.5,27.94 m,6,1 rep (195 kg),4.5,363 kg,2,2.96 m,5,5.97 m,7
8,R. Kearney,USA,21,21.31 m,2,2 reps (195 kg),7,436 kg,8,2.46 m,2,1.56 m,2
9,K. Faires,USA,20,23.44 m,3,1 rep (175 kg),1,409 kg,6,2.07 m,1,13.31 s,9
9,L. Stoltman,GBR,20,25.07 m,5,6 reps (175 kg),2,386 kg,4,2.81 m,4,4.98 m,5
