#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Super Yoke,Pts,Deadlift,Pts,Farmer's Walk,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,Ž. Savickas,LTU,66.5,221 kg,12,21.38 s,8.5,14 reps,11,32.37 s,12,8 in 15.71 s,12,5 in 22.03 s,11
2,V. Lalas,LTU,59.5,200 kg,10,21.38 s,8.5,13 reps,10,35.50 s,10,8 in 17.31 s,11,5 in 24.46 s,10
3,K. Radzikowski,POL,53,210 kg,11,21.32 s,10,12 reps,9,40.88 s,6,7 in 18.46 s,9,5 in 29.10 s,8
4,H. Björnsson,ISL,49,170 kg,6,25.81 s,6,11 reps,6,35.65 s,9,8 in 19.91 s,10,5 in 19.74 s,12
5,L. Shahlaei,GBR,44,170 kg,6,19.34 s,12,11 reps,6,34.56 s,11,2 in 19.65 s,3,5 in 36.48 s,6
6,M. Felix,GBR,39,(No lift),0,32.28 s,5,16 reps,12,38.88 s,7,6 in 29.64 s,6,5 in 27.23 s,9
7,T. Hollands,GBR,33,(No lift),0,20.12 s,11,11 reps,6,51.41 s,5,7 in 37.15 s,8,3 in 19.74 s,3
8,E. Hall,GBR,32,191 kg,9,35.50 s,4,11 reps,6,79.5 m,3,5 in 51.24 s,5,5 in 43.19 s,5
9,J. Fennelly,IRL,28,(No lift),0,55.90 s,3,11 reps,6,38.72 s,8,4 in 35.83 s,4,5 in 34.39 s,7
10,J. Årsjö,SWE,19,180 kg,8,24.31 s,7,9 reps,3,65 m,1,(Withdrew),0,(Withdrew),0
11,J. McIntosh,GBR,17,(No lift),0,26 m,1,6 reps,1,59.95 s,4,7 in 48.44 s,7,4 in 29.23 s,4
12,O. Hansen,NOR,12,170 kg,6,31.14 m,2,7 reps,2,67.1 m,2,(Withdrew),0,(Withdrew),0
