#,Competitor,Country,TOT. PTS,Frame Carry,Pts,Max Axle Press,Pts,Shield Carry,Pts,Deadlift,Pts,Log Lift,Pts,Atlas Stones,Pts
1,D. Poundstone,USA,59,21.95 s,12,188 kg,12,81 m,12,20 reps,8,9 reps,8,4 in 24.33 s,7
2,T. Ortmayer,USA,52,27.83 s,10,186 kg,10.5,77.85 m,11,17 reps,6.5,6 reps,6,5 in 26.18 s,8
3,B. Shaw,USA,39,25.75 s,11,176 kg,7.5,76 m,9,14 reps,3,4 reps,3.5,4 in 27.55 s,5
4,L. Jean,CAN,38,23.06 m,8,176 kg,7.5,51.1 m,6,17 reps,6.5,6 reps,6,4 in 42.59 s,4
5,J. Årsjö,SWE,33.5,16.43 m,5,186 kg,10.5,55.52 m,8,5 reps,1,6 reps,6,3 in 20.39 s,3
6,M. Koklyaev,RUS,28,18.47 m,6,176 kg,7.5,33.6 m,2,14 reps,3,4 reps,3.5,4 in 26.21 s,6
7,M. Felix,GBR,24.5,31.20 s,9,(No lift),0,54.79 m,7,16 reps,5,3 reps,1.5,3 in 20.92 s,2
8,T. Hollands,GBR,22.5,20.57 m,7,(No lift),0,77.19 m,10,14 reps,3,3 reps,1.5,3 in 23.27 s,1
9,S. Wenta,POL,13.5,1.7 m,1,176 kg,7.5,49.56 m,5,(Eliminated),0,(Eliminated),0,(Eliminated),0
10,B. Haraldsson,ISL,12,9.83 m,3,166 kg,5,40.84 m,4,(Eliminated),0,(Eliminated),0,(Eliminated),0
11,J. Marku,GBR,7,9.98 m,4,(No lift),0,36.2 m,3,(Eliminated),0,(Eliminated),0,(Eliminated),0
12,G. Benderoth,USA,3,3.89 m,2,(No lift),0,15.24 m,1,(Eliminated),0,(Eliminated),0,(Eliminated),0
