#,Competitor,Country,TOT. PTS,Nicol Stones,Pts,Carry & Drag,Pts,Deadlift,Pts,Dumbbell Press,Pts,Power Stairs,Pts
1,M. Hooper,CAN,52,24.14 m,11,22.16 s,12,7 reps,10,6 reps,10,15 in 42.08 s,9
2,A. Å maukstelis,LAT,47.5,20 m,8,26.45 s,8,6 reps,8,7 reps,11.5,15 in 33.02 s,12
3,K. Faires,USA,46,24.61 m,12,23.41 s,10,6 reps,8,3 reps,6,15 in 39.50 s,10
4,P. Nakonechnyy,UKR,40,15.91 m,4,27.78 s,6,11 reps,12,4 reps,7,15 in 38.81 s,11
5,P. Kordiyaka,UKR,38,9.4 m,2,22.96 s,11,5 reps,5.5,7 reps,11.5,15 in 44.52 s,8
6,R. Heinla,EST,29,12.75 m,3,28.57 s,5,9 reps,11,2 reps,4,15 in 51.28 s,6
7,P. Smith,GBR,28.5,23.1 m,9,27.30 s,7,4 reps,3,5 reps,8.5,9 in 47.54 s,1
8,P. O'Dwyer,IRL,27,8.58 m,1,25.35 s,9,5 reps,5.5,5 reps,8.5,12 in 59.78 s,3
9,E. Williams,AUS,23,16.58 m,6,30.65 s,3,4 reps,3,2 reps,4,15 in 46.90 s,7
10,M. Felix,GBR,19,16.37 m,5,40.40 s,1,6 reps,8,0 reps,0,13 in 57.58 s,5
11,A. Black,GBR,19,24.08 m,10,37.37 s,2,4 reps,3,0 reps,0,12 in 50.78 s,4
12,L. Jack,GBR,18,19.75 m,7,28.84 s,4,2 reps,1,2 reps,4,9 in 26.64 s,2
