#,Competitor,Country,TOT. PTS,Frame Carry,Pts,Deadlift,Pts,Overhead Press,Pts,Bus Pull,Pts,Loading Race,Pts,Atlas Stones,Pts
1,H. Björnsson,ISL,51.5,32.53 s,7,12 reps,9.5,205 kg,10,36.05 s,9,5 in 31.22 s,10,4 in 39.40 s,6
2,M. Kieliszkowski,POL,45,18.93 s,10,3 reps,2.5,200 kg,8.5,35.95 s,10,5 in 33.60 s,9,4 in 42.13 s,5
3,B. Shaw,USA,44,21.72 s,9,12 reps,9.5,190 kg,5.5,36.76 s,7,5 in 43.34 s,6,4 in 39.11 s,7
4,M. Licis,USA,38.5,26.55 m,6,10 reps,7,200 kg,8.5,38.95 s,6,4 in 37.67 s,2,4 in 24.97 s,9
5,J. Caron,CAN,35,18.45 m,5,11 reps,8,175 kg,3,41.00 s,4,5 in 40.61 s,7,4 in 33.59 s,8
6,J. Els,RSA,30,9.55 m,3,5 reps,4,No lift,0,40.25 s,5,5 in 34.12 s,8,5 in 41.44 s,10
7,M. Belšak,SLO,27.5,5.3 m,2,6 reps,5,190 kg,5.5,36.75 s,8,5 in 52.56 s,4,3 in 37.67 s,3
8,R. Oberst,USA,21.5,12.05 m,4,0 reps,0,190 kg,5.5,41.10 s,3,5 in 44.98 s,5,3 in 24.15 s,4
9,K. Janashia,GEO,21,30.96 s,8,7 reps,6,No lift,0,43.20 s,2,5 in 52.92 s,3,3 in 44.78 s,2
10,Ž. Savickas,LTU,9,5.05 m,1,3 reps,2.5,190 kg,5.5,Withdrew,0,Withdrew,0,Withdrew,0
