#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Car Flip,Pts,Flintstone Barbell,Pts,Farmer's Walk,Pts,Caber Toss,Pts,Tug of War,Pts,Max Squat,Pts,Loading Race,Pts
1,M. Ver Magn̼sson,ISL,71,34.37 s,9,14.36 s,9,200 kg,8,45.30 s,9,5.45 m,9.5,3rd,7.5,437.5 kg,10,5 in 93.15 s,9
2,G. Badenhorst,RSA,62.5,33.26 s,10,13.90 s,10,170 kg,5,50.51 s,8,5.45 m,9.5,3rd,7.5,407.5 kg,8.5,4 in 88.79 s,4
3,M. Varalahti,FIN,48.5,36.24 s,7,14.87 s,8,130 kg,2,33.64 s,10,4.7 m,4.5,5th,4.5,275 kg,2.5,5 in 77.64 s,10
4,H. Ollesch,GER,46,34.64 s,8,14.97 s,7,150 kg,3,56.3 m,3,4.7 m,4.5,1st,10,305 kg,4.5,4 in 60.25 s,6
5,F. Rasmussen,DEN,42.5,39.10 s,3,16.50 s,4,180 kg,6,66.8 m,5,5.4 m,7,5th,4.5,325 kg,6,4 in 56.74 s,7
6,G. Taylor,WAL,42,36.30 s,6,15.87 s,6,210 kg,10,88.1 m,7,4.4 m,2,9th,1.5,407.5 kg,8.5,0 in 120.00 s,1
7,P. Martin,USA,40,40.16 s,2,26.42 s,2,190 kg,7,69.8 m,6,5.2 m,6,5th,4.5,305 kg,4.5,5 in 117.55 s,8
8,W. Price,RSA,38.5,37.20 s,4,15.99 s,5,170 kg,4,41.2 m,1,5.4 m,8,2nd,9,275 kg,2.5,4 in 66.00 s,5
9,J. Onosai,SAM,29.5,24.3 m,1,29.26 s,1,205 kg,9,52.7 m,2,4.4 m,3,5th,4.5,352.5 kg,7,1 in 14.22 s,2
10,M. Samuelsson,SWE,19,37.10 s,5,18.64 s,3,120 kg,1,63.2 m,4,4 m,1,9th,1,237.5 kg,1,4 in 104.39 s,3
