#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Austrian Oak,Pts,Cyr Dumbbell,Pts,Bale Tote,Pts,Timber Carry,Pts
1,Ž. Savickas,LTU,42,404 kg,5,"4 reps, 205 kg",10,"1 rep, 136 kg",8,16.50 s (700 kg),9,13.00 s,10
2,B. Shaw,USA,41,463 kg,9,"5 reps, 175 kg",6,"3 reps, 136 kg",10,8.90 s (700 kg),10,18.62 s,6
3,V. Lalas,LTU,36,415 kg,6,"1 rep, 205 kg",9,"5 reps, 124 kg",7,24.22 s (700 kg),5,14.27 s,9
4,M. Kieliszkowski,POL,33.5,361 kg,2,"6 reps, 175 kg",7.5,"2 reps, 136 kg",9,17.72 s (700 kg),8,16.16 s,7
5,H. Björnsson,ISL,32.5,443 kg,7,"4 reps, 175 kg",5,"4 reps, 124 kg",5.5,19.84 s (700 kg),7,14.31 s,8
6,J. Pritchett,USA,24.5,456 kg,8,"3 reps, 175 kg",3,No lift,2.5,21.94 s (700 kg),6,8.76 m,5
7,M. Shivlyakov,RUS,23.5,401 kg,4,"6 reps, 175 kg",7.5,"1 rep, 124 kg",4,3.91 m (700 kg),4,4.45 m,4
8,D. Savatinov,BUL,17.5,363 kg,3,"3 reps, 175 kg",3,"4 reps, 124 kg",5.5,2.01 m (700 kg),3,1.09 m,3
9,E. Hall,GBR,11,465 kg,10,No lift,1,Withdrew,0,Withdrew,0,Withdrew,0
10,A. Lysenko,RUS,10.5,320 kg,1,"3 reps, 175 kg",3,No lift,2.5,1.37 m (590 kg),2,-,2
