#,Competitor,Country,TOT. PTS,Max Axle Press,Pts,Hercules Hold,Pts,Deadlift,Pts,Frame Carry,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,44.5,190 kg,9.5,52.47 s,5,6 reps,10,8.74 s,11,5 in 20.53 s,9
2,E. Singleton,USA,43,170 kg,6.5,74.36 s,10,5 reps,8.5,11.32 s,8,5 in 20.22 s,10
3,C. Sanou,BUR,37.5,217 kg,11,75.12 s,11,5 reps,8.5,12.29 s,7,(Withdrew),0
4,A. Bishop,GBR,33,(No lift),0,47.93 s,4,7 reps,11,9.46 s,10,5 in 21.58 s,8
5,T. Stoltman,GBR,30.5,190 kg,9.5,38.34 s,2,3 reps,5,15.92 s,3,5 in 16.97 s,11
6,L. Stoltman,GBR,27.5,170 kg,6.5,46.21 s,3,1 rep,2,10.32 s,9,5 in 22.66 s,7
7,L. Shahlaei,GBR,25,(No lift),0,55.15 s,7,4 reps,7,12.34 s,6,5 in 40.88 s,5
8,G. Bilton,GBR,22.5,170 kg,6.5,52.86 s,6,3 reps,5,46.89 s,2,4 in 42.91 s,3
9,P. O'Dwyer,IRL,21.5,170 kg,6.5,33.57 s,1,3 reps,5,13.84 s,5,5 in 42.11 s,4
10,A. Å maukstelis,LAT,21,(No lift),0,62.51 s,8,2 reps,3,14.66 s,4,5 in 25.32 s,6
11,M. Felix,GBR,9,(No lift),0,66.42 s,9,0 reps,0,(Withdrew),0,(Withdrew),0
