#,Competitor,Country,TOT. PTS,Bus Pull,Pts,Viking Press,Pts,Super Yoke,Pts,Deadlift,Pts,Weight Throw,Pts,Natural Stones,Pts
1,M. Burke,USA,54,20.25 s,10,18 reps,9.5,21.85 s,8,14 reps,6.5,5.2 m,10,4 in 16.40 s,10
2,E. Hall,GBR,50,21.47 s,7,16 reps,8,21.56 s,9,17 reps,10,4.8 m,9,4 in 26.46 s,7
3,B. Solvang,NOR,47.5,20.68 s,9,18 reps,9.5,36.93 s,4,16 reps,9,4.4 m,7,4 in 23.31 s,9
4,Ã�. Nagy,HUN,43.5,21.31 s,8,12 reps,7,20.59 s,10,14 reps,6.5,4.4 m,7,4 in 30.31 s,5
5,T. Hajnal,HUN,30.5,21.78 s,5,7 reps,4.5,22.94 s,7,1 rep,2,4.2 m,4,4 in 23.40 s,8
6,A. Curletto,ITA,29,23.18 s,3,10 reps,6,35.35 s,5,12 reps,5,4.2 m,4,4 in 28.05 s,6
7,M. van der Haer,RSA,27.5,23.43 s,2,7 reps,4.5,53.10 s,3,15 reps,8,4.4 m,7,4 in 48.43 s,3
8,S. Romanchuk,UKR,27,21.62 s,6,6 reps,3,24.53 s,6,11 reps,4,4.2 m,4,4 in 32.56 s,4
9,A. RadoÅ¡eviÄ‡,SRB,12,25.03 s,1,4 reps,2,20 m,2,4 reps,3,4 m,2,3 stones,2
10,T. Lotta,FIN,4,22.67 s,4,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
