#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Max Deadlift,Pts,Car Walk,Pts,Log Lift,Pts,Stone to Shoulder,Pts,Loading Race,Pts
1,H. Bj̦rnsson,ISL,63,24.53 s,10,420 kg,10,17.07 s,10,7 reps,11,8 reps,11,5 in 57.92 s,11
2,W. Brant,AUS,51,25.80 s,8,400 kg,8,31.16 s,9,6 reps,9.5,6 reps,8.5,4 in 53.89 s,8
3,F. Scheun,RSA,50.5,26.90 s,6,400 kg,8,32.47 s,7,6 reps,9.5,7 reps,10,4 in 48.27 s,10
4,G. van Staden,RSA,44,24.23 s,11,370 kg,5.5,37.29 s,6,4 reps,6.5,4 reps,6,4 in 52.71 s,9
5,E. le Roux,AUS,38,25.31 s,9,400 kg,8,53.41 s,2,3 reps,3.5,6 reps,8.5,4 in 73.27 s,7
6,B. Magn̼sson,ISL,37.5,27.55 s,5,445 kg,11,44.94 s,4,4 reps,6.5,5 reps,7,2 in 19.91 s,4
7,R. Frampton,GBR,35.5,43.75 m,3,370 kg,5.5,17.03 s,11,4 reps,6.5,3 reps,4.5,3 in 70.35 s,5
8,J. Hogg,NZL,27,26.31 s,7,330 kg,2.5,41.80 s,5,1 rep,2,3 reps,4.5,3 in 58.05 s,6
9,J. McLeod,AUS,25,43.25 m,2,330 kg,2.5,32.10 s,8,4 reps,6.5,2 reps,3,2 in 36.52 s,3
10,S. Pennell,NZL,12,36.5 m,1,330 kg,2.5,51.69 s,3,3 reps,3.5,1 rep,2,(Withdrew),0
11,M. van der Haer,RSA,7.5,43.53 s,4,330 kg,2.5,5.5 m,1,(Withdrew),0,(Withdrew),0,(Withdrew),0
