#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Farmer's Walk,Pts,Safe Lift,Pts,Hercules Hold,Pts,Atlas Stones,Pts
1,M. Kieliszkowski,POL,38.5,400 kg,2.5,18.78 s,10,13 reps,10,49.64 s,8,5 in 27.43 s,8
2,J. Pritchett,USA,31.5,455 kg,9.5,25.33 s,8,4 reps,3,49.08 s,7,5 in 46.38 s,4
3,M. Licis,USA,30,420 kg,5,32.38 s,4,3 reps,2,50.94 s,9,5 in 20.37 s,10
4,L. Stoltman,GBR,29,(No lift),0,26.20 s,7,12 reps,9,46.49 s,6,5 in 27.54 s,7
5,R. Kearney,USA,26.5,440 kg,7.5,51.98 s,2,8 reps,7,39.71 s,5,5 in 34.49 s,5
6,M. Shivlyakov,RUS,26.5,420 kg,5,24.75 s,9,6 reps,5.5,39.18 s,4,5 in 47.18 s,3
7,A. Bishop,GBR,25,440 kg,7.5,51.96 s,3,6 reps,5.5,38.20 s,3,5 in 30.51 s,6
8,M. Felix,GBR,23,420 kg,5,29.12 s,6,0 reps,0,83.62 s,10,4 in 24.86 s,2
9,T. Stoltman,GBR,22.5,400 kg,2.5,29.71 s,5,5 reps,4,34.87 s,2,5 in 20.69 s,9
10,R. Heinla,EST,20.5,455 kg,9.5,1 m,1,9 reps,8,33.97 s,1,4 in 26.68 s,1
